ilkid,year,firstname,lastname,team,leag,gp,minutes,pts,oreb,dreb,reb,asts,stl,blk,turnover,pf,fga,fgm,fta,ftm,tpa,tpm
MatthWe02 ,2009,Wesley,Matthews,UTA,N,82,2025,769,50,141,191,124,64,15,93,152,565,273,193,160,165,63
MaxieJa01 ,2009,Jason,Maxiell,DET,N,76,1550,513,161,240,401,39,36,38,68,175,415,212,155,89,1,0
MaynoEr01 ,2009,Eric,Maynor,OKC,N,55,906,248,11,80,91,185,27,8,57,82,235,102,39,27,47,17
MaynoEr01 ,2009,Eric,Maynor,TOT,N,81,1269,382,21,108,129,266,40,10,85,115,368,154,72,52,71,22
ooreMi01 ,2009,Mikki,Moore,GSW,N,23,406,115,26,43,69,36,5,13,21,60,90,54,11,7,0,0
MorriAd01 ,2009,Adam,Morrison,LAL,N,31,241,74,10,22,32,18,3,2,10,17,85,32,8,5,21,5
MorriRa01 ,2009,Randolph,Morris,ATL,N,28,124,62,10,28,38,2,5,3,12,34,41,23,27,16,0,0
MorroAn01 ,2009,Anthony,Morrow,GSW,N,69,2018,899,61,198,259,104,65,16,84,158,703,329,114,101,307,140
MulleBy01 ,2009,Byron,Mullens,OKC,N,13,54,14,3,7,10,1,2,0,4,13,19,7,0,0,0,0
MurphTr01 ,2009,Troy,Murphy,IND,N,72,2344,1050,129,608,737,150,72,34,100,175,813,384,193,154,333,128
MurraRo01 ,2009,Ronald,Murray,CHR,N,46,993,454,15,83,98,84,28,12,65,77,411,160,131,93,131,41
MurraRo01 ,2009,Ronald,Murray,CHI,N,29,680,292,13,72,85,51,18,4,26,49,272,108,63,48,90,28
MurraRo01 ,2009,Ronald,Murray,TOT,N,75,1673,746,28,155,183,135,46,16,91,126,683,268,194,141,221,69
NajerEd01 ,2009,Eduardo,Najera,TOT,N,46,685,157,34,81,115,29,26,14,25,94,146,62,24,14,64,19
NajerEd01 ,2009,Eduardo,Najera,DAL,N,33,481,108,22,55,77,14,17,12,13,61,93,42,12,8,47,16
NajerEd01 ,2009,Eduardo,Najera,NJN,N,13,204,49,12,26,38,15,9,2,12,33,53,20,12,6,17,3
