ilkid,year,firstname,lastname,team,leag,gp,minutes,pts,oreb,dreb,reb,asts,stl,blk,turnover,pf,fga,fgm,fta,ftm,tpa,tpm
LAFRERA01 ,2007,Raef,LaFrentz,POR,N,39,289,65,28,39,67,6,12,17,10,59,61,27,19,11,4,0
LandrCa01 ,2007,Carl,Landry,HOU,N,42,709,342,96,117,213,21,17,7,26,98,219,135,109,72,1,0
LangfKe01 ,2007,Keith,Langford,SAS,N,2,10,2,0,2,2,0,0,0,0,1,4,1,0,0,0,0
LasmeSt01 ,2007,Stephane,Lasme,MIA,N,15,303,83,26,27,53,3,13,22,15,35,71,32,32,19,0,0
LasmeSt01 ,2007,Stephane,Lasme,GSW,N,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LasmeSt01 ,2007,Stephane,Lasme,TOT,N,16,303,83,26,27,53,3,13,22,15,35,71,32,32,19,0,0
LawAc01   ,2007,Acie,Law,ATL,N,56,863,235,12,45,57,113,29,0,56,73,237,95,48,38,34,7
LEEDA02   ,2007,David,Lee,NYK,N,81,2356,876,241,482,723,95,55,29,97,210,617,341,237,194,2,0
LEWISRA01 ,2007,Rashard,Lewis,ORL,N,81,3080,1476,97,340,437,196,99,38,140,214,1135,516,260,218,553,226
LowryKy01 ,2007,Kyle,Lowry,MEM,N,82,2089,789,41,209,250,297,92,21,127,185,590,255,348,243,140,36
LUETY01   ,2007,Tyronn,Lue,ATL,N,33,567,226,9,32,41,59,11,0,22,38,196,86,28,24,69,30
LUETY01   ,2007,Tyronn,Lue,DAL,N,17,173,64,0,13,13,15,0,1,5,28,57,27,4,1,17,9
LUETY01   ,2007,Tyronn,Lue,TOT,N,50,740,290,9,45,54,74,11,1,27,66,253,113,32,25,86,39
MADSEMA01 ,2007,Mark,Madsen,MIN,N,20,150,9,18,20,38,4,3,2,9,25,19,3,12,3,0,0
MAGGECO01 ,2007,Corey,Maggette,LAC,N,70,2498,1547,78,316,394,189,71,7,195,210,1000,458,681,553,203,78
MAGLOJA01 ,2007,Jamaal,Magloire,DAL,N,7,26,12,1,7,8,0,1,0,7,8,6,3,13,6,0,0
MAGLOJA01 ,2007,Jamaal,Magloire,NJN,N,24,258,44,17,63,80,7,0,11,24,42,48,15,30,14,0,0
MAGLOJA01 ,2007,Jamaal,Magloire,TOT,N,31,284,56,18,70,88,7,1,11,31,50,54,18,43,20,0,0
MahinIa01 ,2007,Ian,Mahinmi,SAS,N,6,22,21,0,5,5,1,0,4,2,4,12,6,9,9,0,0
MARBUST01 ,2007,Stephon,Marbury,NYK,N,24,807,333,17,42,59,113,21,2,48,57,265,111,116,83,74,28
MARIOSH01 ,2007,Shawn,Marion,PHO,N,47,1711,743,86,378,464,98,95,70,49,117,578,304,108,77,167,58
MARIOSH01 ,2007,Shawn,Marion,MIA,N,15,601,229,50,128,178,40,30,15,37,33,209,96,42,29,31,8
MARIOSH01 ,2007,Shawn,Marion,TOT,N,62,2312,972,136,506,642,138,125,85,86,150,787,400,150,106,198,66
MARKSSE01 ,2007,Sean,Marks,PHO,N,19,130,59,9,27,36,4,3,10,8,23,43,23,19,12,4,1
MARSHDO01 ,2007,Donyell,Marshall,CLE,N,11,157,41,9,21,30,5,2,9,6,16,44,13,9,7,23,8
MARSHDO01 ,2007,Donyell,Marshall,SEA,N,16,185,57,15,31,46,5,4,7,9,15,54,19,13,12,30,7
MARSHDO01 ,2007,Donyell,Marshall,TOT,N,27,342,98,24,52,76,10,6,16,15,31,98,32,22,19,53,15
MARTIDA01 ,2007,Darrick,Martin,TOR,N,17,141,27,3,4,7,21,6,0,1,12,43,10,6,5,16,2
MARTIKE01 ,2007,Kenyon,Martin,DEN,N,71,2162,877,105,356,461,90,88,85,91,235,699,376,212,123,11,2
MARTIKE02 ,2007,Kevin,Martin,SAC,N,61,2217,1443,48,224,272,129,62,5,131,150,914,417,578,502,266,107
MASONDE01 ,2007,Desmond,Mason,MIL,N,59,1704,574,75,181,256,121,40,30,83,106,477,230,173,114,0,0
MASONRO01 ,2007,Roger,Mason,WAS,N,80,1704,724,17,113,130,134,40,18,69,140,600,266,71,62,327,130
MAXIEJA01 ,2007,Jason,Maxiell,DET,N,82,1761,651,177,256,433,46,22,94,73,183,446,240,270,171,1,0
MBENGDJ01 ,2007,D.J.,Mbenga,LAL,N,26,195,64,15,26,41,6,4,16,8,38,61,30,10,4,0,0
MBENGDJ01 ,2007,D.J.,Mbenga,GSW,N,16,129,19,13,18,31,4,3,10,4,32,23,9,2,1,0,0
MBENGDJ01 ,2007,D.J.,Mbenga,TOT,N,42,324,83,28,44,72,10,7,26,12,70,84,39,12,5,0,0
MCCANRA01 ,2007,Rashad,McCants,MIN,N,75,2023,1114,50,157,207,162,66,18,171,234,944,428,155,116,349,142
MCCOYJE01 ,2007,Jelani,McCoy,DEN,N,6,32,3,1,6,7,0,0,5,4,7,1,1,2,1,0,0
MCDYEAN01 ,2007,Antonio,McDyess,DET,N,78,2285,683,204,462,666,89,61,53,72,246,600,293,156,97,2,0
MCGRATR01 ,2007,Tracy,McGrady,HOU,N,66,2440,1427,42,297,339,387,68,30,160,92,1307,548,358,245,294,86
McGuiDo01 ,2007,Dominic,McGuire,WAS,N,70,696,93,53,87,140,41,20,26,40,76,103,39,32,14,6,1
MCINNJE01 ,2007,Jeff,McInnis,CHR,N,54,1410,242,16,79,95,220,23,3,75,120,249,108,30,23,19,3
McRobJo01 ,2007,Josh,McRoberts,POR,N,8,29,12,2,8,10,2,1,0,2,1,10,6,0,0,1,0
MIHMCH01  ,2007,Chris,Mihm,LAL,N,23,278,82,28,49,77,16,3,14,17,40,95,32,27,18,0,0
MILESCJ01 ,2007,C.J.,Miles,UTA,N,62,713,300,20,67,87,53,33,8,31,106,242,114,54,42,77,30
MILICDA01 ,2007,Darko,Milicic,MEM,N,70,1665,507,126,297,423,58,32,114,101,185,501,220,121,67,1,0
MILLEAN02 ,2007,Andre,Miller,PHI,N,82,3013,1398,95,228,323,565,105,7,205,181,1156,569,333,257,34,3
MILLEBR01 ,2007,Brad,Miller,SAC,N,72,2514,964,167,514,681,264,68,74,164,247,728,337,309,262,90,28
MILLEMI01 ,2007,Mike,Miller,MEM,N,70,2475,1147,51,416,467,240,35,16,182,145,823,414,212,164,359,155
MillsPa01 ,2007,Paul,Millsap,UTA,N,81,1684,656,165,290,455,81,71,71,85,265,498,251,227,154,4,0
