ilkid,year,firstname,lastname,team,leag,gp,minutes,pts,oreb,dreb,reb,asts,stl,blk,turnover,pf,fga,fgm,fta,ftm,tpa,tpm
GATLICH01 ,1999,Chris,Gatling,DEN,N,40,770,416,63,142,205,31,34,13,64,104,340,155,128,95,47,11
GEIGEMA01 ,1999,Matt,Geiger,PHI,N,65,1406,629,154,233,387,39,29,22,91,194,589,260,140,109,4,0
GEORGDE01 ,1999,Devean,George,LAL,N,49,345,155,29,46,75,12,10,4,21,54,144,56,41,27,47,16
GILLIAR01 ,1999,Armen,Gilliam,UTA,N,50,782,333,72,137,209,42,12,16,55,83,305,133,86,67,1,0
GILLKE01  ,1999,Kendall,Gill,NJN,N,76,2355,993,82,201,283,210,139,41,89,211,956,396,255,181,78,20
GLOVEDI01 ,1999,Dion,Glover,ATL,N,30,446,195,15,23,38,27,15,4,28,28,171,66,70,51,45,12
GRANTBR01 ,1999,Brian,Grant,POR,N,63,1322,459,121,223,344,64,32,28,84,166,352,173,166,112,2,1
GRANTGA01 ,1999,Gary,Grant,POR,N,3,24,12,0,3,3,1,1,0,2,3,14,6,0,0,0,0
GRANTHO01 ,1999,Horace,Grant,SEA,N,76,2688,612,167,424,591,188,55,60,61,192,599,266,111,80,4,0
GRAYDE01  ,1999,Devin,Gray,HOU,N,21,124,49,11,14,25,5,5,3,4,22,37,15,29,19,0,0
GREENAC01 ,1999,A.c.,Green,LAL,N,82,1929,413,160,326,486,80,53,18,53,127,387,173,95,66,4,1
GRIFFAD01 ,1999,Adrian,Griffin,BOS,N,72,1927,485,128,244,372,177,116,15,93,222,413,175,158,119,57,16
GUGLITO01 ,1999,Tom,Gugliotta,PHO,N,54,1767,738,141,284,425,124,80,31,106,152,645,310,151,117,8,1
HAMDA01   ,1999,Darvin,Ham,MIL,N,35,792,177,85,87,172,42,29,29,29,102,128,71,78,35,1,0
HAMILRI01 ,1999,Richard,Hamilton,WAS,N,71,1373,639,38,91,129,108,28,6,84,142,605,254,133,103,77,28
HAMILTH01 ,1999,Thomas,Hamilton,HOU,N,22,273,82,31,59,90,15,4,14,28,25,79,35,23,12,0,0
HAMMOTO01 ,1999,Tom,Hammonds,MIN,N,56,372,117,34,67,101,10,8,3,21,55,97,42,56,33,0,0
HARDAAN01 ,1999,Anfernee,Hardaway,PHO,N,60,2253,1015,91,256,347,315,94,38,153,164,798,378,286,226,102,33
HARDATI01 ,1999,Tim,Hardaway,MIA,N,52,1672,696,25,125,150,385,49,4,119,112,638,246,133,110,256,94
HARPERO01 ,1999,Ron,Harper,LAL,N,80,2042,557,96,241,337,270,85,39,132,164,531,212,147,100,106,33
HARPRMA01 ,1999,Matt,Harpring,ORL,N,4,63,16,5,7,12,8,5,1,1,7,17,4,7,6,2,2
HARRIAL01 ,1999,Al,Harrington,IND,N,50,854,328,47,112,159,38,25,9,65,130,264,121,111,78,34,8
HARRILU01 ,1999,Lucious,Harris,NJN,N,77,1510,513,53,134,187,100,65,6,42,98,463,198,99,79,115,38
HARRIOT01 ,1999,Othella,Harrington,VAN,N,82,2677,1076,196,367,563,97,36,58,217,287,830,420,298,236,2,0
HARVEAN01 ,1999,Antonio,Harvey,POR,N,19,137,41,8,25,33,5,1,6,12,20,30,17,12,7,0,0
HAWKIHE01 ,1999,Hersey,Hawkins,CHI,N,61,1622,480,31,144,175,134,74,15,100,146,375,159,119,107,141,55
HAWKIMI01 ,1999,Michael,Hawkins,CHA,N,12,36,8,0,7,7,13,0,0,3,2,13,3,2,1,5,1
HENDEAL01 ,1999,Alan,Henderson,ATL,N,82,2775,1083,265,306,571,77,81,54,139,233,930,429,334,224,10,1
HENDECE02 ,1999,Cedric,Henderson,CLE,N,61,1107,328,34,106,140,55,39,17,68,99,326,129,104,69,15,1
HENDRMA01 ,1999,Mark,Hendrickson,NJN,N,5,24,1,1,1,2,3,0,0,0,1,1,0,2,1,0,0
HENDRMA01 ,1999,Mark,Hendrickson,CLE,N,10,47,12,2,9,11,3,2,1,3,7,7,5,2,2,0,0
HENDRMA01 ,1999,Mark,Hendrickson,TOT,N,15,71,13,3,10,13,6,2,1,3,8,8,5,4,3,0,0
HERRECH01 ,1999,Chris,Herren,DEN,N,45,597,141,12,40,52,111,15,2,42,74,124,45,40,27,67,24
HILLGR01  ,1999,Grant,Hill,DET,N,74,2776,1906,97,393,490,385,103,43,240,190,1422,696,604,480,98,34
HILLTY01  ,1999,Tyrone,Hill,PHI,N,68,2155,815,220,405,625,52,64,27,124,243,656,318,259,179,1,0
HOIBEFR01 ,1999,Fred,Hoiberg,CHI,N,31,845,279,7,103,110,85,40,2,43,66,230,89,76,69,94,32
HOODDE01  ,1999,Derek,Hood,CHA,N,2,4,0,0,1,1,0,0,0,0,0,3,0,0,0,0,0
HORNAJE01 ,1999,Jeff,Hornacek,UTA,N,77,2133,953,49,133,182,202,66,16,113,149,728,358,180,171,138,66
HORRYRO01 ,1999,Robert,Horry,LAL,N,76,1685,436,133,228,361,118,84,80,73,189,363,159,113,89,94,29
